"Symbol ","Date "," Settlement Date ","Series ","Open Price ","High Price ","Low Price ","PREV. CLOSE ","Close Price ","52 weeks High ","52 weeks Low ","Total Traded Quantity ","Total Traded Value in Rs.","Number of Trades "
"TCS","17-APR-2026","02-JUN-2026","X6","3.00","4.00","1.00","3.21","3.21","4.00","0.11","68,258","2,27,590.74","175"
"TCS","17-APR-2026","05-MAY-2026","Y1","1.00","1.00","0.50","1.00","1.00","1.00","0.50","1,750","1,749.50","6"
"TCS","16-APR-2026","05-MAY-2026","X5","4.00","4.00","1.30","2.98","2.10","4.01","0.10","1,68,523","4,89,673.11","755"
"TCS","16-APR-2026","02-JUN-2026","X6","3.00","3.99","2.25","3.37","3.21","4.00","0.11","29,527","96,435.20","133"
"TCS","15-APR-2026","05-MAY-2026","X5","3.30","4.01","1.00","1.48","2.98","4.01","0.10","5,58,583","13,74,949.71","869"
"TCS","15-APR-2026","05-MAY-2026","Y1","0.99","1.00","0.99","0.60","1.00","1.00","0.99","3,500","3,489.00","2"
"TCS","15-APR-2026","02-JUN-2026","X6","2.00","4.00","1.00","2.00","3.37","4.00","0.11","52,242","1,48,561.57","115"
"TCS","13-APR-2026","02-JUN-2026","X6","1.00","2.00","1.00","1.00","2.00","2.00","0.11","13,750","23,947.80","35"
"TCS","13-APR-2026","05-MAY-2026","X5","0.31","1.50","0.31","1.20","1.48","3.00","0.10","48,024","70,339.25","122"
"TCS","11-APR-2026","05-MAY-2026","X5","2.00","25.24","2.00","1.20","25.24","25.24","0.10","4,575","10,893.00","6"
"TCS","11-APR-2026","02-JUN-2026","06","2.35","2.35","2.35","3.00","2.35","2.35","2.35","3,500","8,225.00","1"
"TCS","11-APR-2026","04-AUG-2026","08","8.00","8.00","8.00","0.10","8.00","8.00","8.00","150","1,200.00","1"
"TCS","10-APR-2026","02-JUN-2026","X6","1.00","1.51","1.00","0.11","1.00","1.51","0.11","4,206","4,912.85","19"
"TCS","10-APR-2026","05-MAY-2026","X5","0.98","2.10","0.80","0.98","1.20","3.00","0.10","2,22,655","2,48,300.57","555"
"TCS","09-APR-2026","05-MAY-2026","X5","0.10","0.99","0.10","0.10","0.98","3.00","0.10","619","606.65","10"
"TCS","08-APR-2026","05-MAY-2026","X5","0.11","0.11","0.10","1.00","0.10","3.00","0.10","499","53.40","6"
"TCS","08-APR-2026","02-JUN-2026","X6","0.11","0.11","0.11","0.80","0.11","1.00","0.11","10","1.10","1"
"TCS","07-APR-2026","05-MAY-2026","X5","0.94","1.00","0.94","0.11","1.00","3.00","0.11","350","344.12","5"
"TCS","06-APR-2026","05-MAY-2026","X5","0.11","0.11","0.11","1.00","0.11","3.00","0.11","1","0.11","1"
"TCS","01-APR-2026","05-MAY-2026","X5","0.12","1.00","0.11","0.12","1.00","3.00","0.11","1,151","989.00","8"
"TCS","30-MAR-2026","05-MAY-2026","X5","0.12","0.12","0.12","2.58","0.12","3.00","0.11","3","0.36","1"
"TCS","30-MAR-2026","07-APR-2026","X4","0.90","0.99","0.90","0.99","0.99","1.50","0.01","1,050","982.35","3"
"TCS","27-MAR-2026","07-APR-2026","X4","0.99","0.99","0.99","0.98","0.99","1.50","0.01","400","396.00","2"
"TCS","24-MAR-2026","07-APR-2026","A1","0.99","1.00","0.99","0.50","1.00","1.00","0.99","2,850","2,839.00","3"
"TCS","20-MAR-2026","07-APR-2026","X4","0.98","0.98","0.98","0.98","0.98","1.50","0.01","63","61.74","1"
"TCS","20-MAR-2026","05-MAY-2026","X5","1.00","3.00","1.00","0.11","2.58","3.00","0.11","205","529.00","3"
"TCS","19-MAR-2026","07-APR-2026","X4","0.10","0.98","0.10","0.10","0.98","1.50","0.01","635","484.62","4"
"TCS","17-MAR-2026","05-MAY-2026","X5","0.11","0.11","0.11","0.50","0.11","0.99","0.11","1","0.11","1"
"TCS","10-MAR-2026","07-APR-2026","X4","0.10","0.10","0.10","0.01","0.10","1.50","0.01","30","3.00","1"
"TCS","09-MAR-2026","07-APR-2026","X4","0.01","0.01","0.01","0.11","0.01","1.50","0.01","13","0.13","2"
