"Symbol ","Date "," Settlement Date ","Series ","Open Price ","High Price ","Low Price ","PREV. CLOSE ","Close Price ","52 weeks High ","52 weeks Low ","Total Traded Quantity ","Total Traded Value in Rs.","Number of Trades "
"TCS","19-AUG-2026","01-SEP-2026","S1","1.20","1.25","1.14","1.00","1.15","1.50","0.55","28,772","32,888.55","9"
"TCS","19-AUG-2026","04-MAY-2027","X5","0.39","0.39","0.39","0.39","0.39","6.00","0.10","1","0.39","1"
"TCS","19-AUG-2026","06-OCT-2026","XO","0.30","0.30","0.30","0.30","0.30","1.15","0.30","2","0.60","1"
"TCS","18-AUG-2026","01-SEP-2026","X9","0.99","0.99","0.99","0.01","0.99","4.90","0.01","14","13.86","1"
"TCS","18-AUG-2026","06-OCT-2026","XO","0.30","0.30","0.30","1.15","0.30","1.15","0.30","32","9.60","2"
"TCS","18-AUG-2026","01-SEP-2026","S1","1.25","1.25","1.00","1.40","1.00","1.50","0.55","10,409","11,024.57","17"
"TCS","17-AUG-2026","06-OCT-2026","XO","1.00","1.15","1.00","1.10","1.15","1.15","0.44","234","237.00","5"
"TCS","17-AUG-2026","01-SEP-2026","S1","1.20","1.40","1.20","1.50","1.40","1.50","0.55","1,116","1,358.20","3"
"TCS","14-AUG-2026","06-OCT-2026","XO","1.00","1.15","1.00","1.00","1.10","1.15","0.44","1,923","2,115.05","4"
"TCS","14-AUG-2026","06-JUL-2027","X7","5.00","5.00","5.00","0.50","5.00","44.57","0.02","6","30.00","1"
"TCS","14-AUG-2026","01-SEP-2026","S1","1.29","1.50","1.29","1.00","1.50","1.50","0.55","36,211","46,974.60","16"
"TCS","13-AUG-2026","01-SEP-2026","S1","1.00","1.00","1.00","1.30","1.00","1.30","0.55","1,225","1,225.00","65"
"TCS","12-AUG-2026","01-SEP-2026","S1","1.20","1.30","1.01","0.98","1.30","1.30","0.55","20,375","25,126.58","12"
"TCS","12-AUG-2026","01-SEP-2026","X9","0.01","0.01","0.01","0.01","0.01","4.90","0.01","8,646","86.46","4"
"TCS","11-AUG-2026","01-SEP-2026","X9","0.50","0.50","0.01","1.50","0.01","4.90","0.01","20,002","303.07","12"
"TCS","11-AUG-2026","01-SEP-2026","S1","1.00","1.00","0.94","1.00","0.98","1.15","0.55","29,826","29,662.60","20"
"TCS","11-AUG-2026","06-OCT-2026","XO","1.00","1.00","1.00","0.61","1.00","1.00","0.44","45","45.00","1"
"TCS","10-AUG-2026","01-SEP-2026","S1","1.00","1.10","1.00","1.15","1.00","1.15","0.55","19,924","20,599.00","19"
"TCS","07-AUG-2026","01-SEP-2026","X9","2.00","2.00","1.00","0.01","1.50","4.90","0.01","1,374","1,642.00","6"
"TCS","07-AUG-2026","06-OCT-2026","XO","0.50","0.61","0.50","0.50","0.61","0.75","0.44","135","75.53","4"
"TCS","07-AUG-2026","06-JUL-2027","X7","0.50","0.50","0.50","0.50","0.50","44.57","0.02","25","12.50","2"
"TCS","06-AUG-2026","01-SEP-2026","X9","2.00","2.00","0.01","0.05","0.01","4.90","0.01","35,419","453.04","70"
"TCS","06-AUG-2026","06-OCT-2026","XO","0.50","0.50","0.50","0.75","0.50","0.75","0.44","478","239.00","5"
"TCS","05-AUG-2026","01-SEP-2026","X9","0.06","0.15","0.01","0.11","0.05","4.90","0.01","8,566","575.73","16"
"TCS","05-AUG-2026","06-OCT-2026","XO","0.75","0.75","0.75","0.44","0.75","0.75","0.44","39","29.25","3"
"TCS","05-AUG-2026","01-SEP-2026","S1","1.15","1.15","1.15","3,093.70","1.15","1.15","0.55","2,500","2,875.00","9"
"TCS","04-AUG-2026","01-SEP-2026","X9","0.11","0.17","0.11","0.11","0.11","4.90","0.01","71,689","8,608.19","86"
"TCS","03-AUG-2026","01-SEP-2026","X9","0.11","0.11","0.11","1.00","0.11","4.90","0.01","5","0.55","1"
"TCS","31-JUL-2026","01-SEP-2026","X9","1.00","1.00","1.00","2.00","1.00","4.90","0.01","363","363.00","3"
"TCS","30-JUL-2026","01-SEP-2026","X9","2.01","2.01","2.00","2.94","2.00","4.90","0.01","4,524","9,048.24","12"
"TCS","29-JUL-2026","04-AUG-2026","G1","2.00","3.00","2.00","1.50","2.50","4.95","0.50","7,464","19,398.50","21"
"TCS","29-JUL-2026","04-AUG-2026","X8","0.05","0.50","0.05","0.01","0.50","9.00","0.01","18,586","9,286.39","5"
"TCS","29-JUL-2026","01-SEP-2026","X9","2.99","4.00","1.50","0.10","2.94","4.90","0.01","2,27,121","6,30,830.52","461"
"TCS","28-JUL-2026","01-SEP-2026","X9","0.10","0.10","0.10","3.01","0.10","4.90","0.01","1","0.10","1"
"TCS","28-JUL-2026","04-AUG-2026","G1","1.50","1.50","1.50","2.50","1.50","4.95","0.50","59","88.50","1"
"TCS","28-JUL-2026","04-AUG-2026","X8","0.05","0.05","0.01","0.05","0.01","9.00","0.01","211","2.27","2"
"TCS","27-JUL-2026","04-AUG-2026","X8","0.05","0.05","0.05","3.93","0.05","9.00","0.05","1,350","67.50","1"
"TCS","24-JUL-2026","04-AUG-2026","G1","2.00","3.00","2.00","3.12","2.50","4.95","0.50","3,210","8,220.00","7"
"TCS","24-JUL-2026","01-SEP-2026","X9","3.00","3.60","2.00","3.49","3.01","4.90","0.01","86,104","1,91,130.78","81"
"TCS","23-JUL-2026","01-SEP-2026","X9","0.01","3.50","0.01","3.01","3.49","4.90","0.01","3,50,287","11,59,342.20","334"
"TCS","23-JUL-2026","04-AUG-2026","G1","4.00","4.50","3.12","3.50","3.12","4.95","0.50","1,16,239","4,59,269.87","282"
"TCS","22-JUL-2026","04-AUG-2026","X8","3.93","3.93","3.93","1.50","3.93","9.00","0.11","1","3.93","1"
"TCS","22-JUL-2026","01-SEP-2026","X9","0.01","3.50","0.01","2.51","3.01","4.90","0.01","3,62,762","10,77,979.93","211"
